type,description,priorite,categorie
Demande,Ajout d'un nouveau chapitre dans la documentation,Faible,Documentation
Incident,Le matériel de développement est manquant,Moyenne,Matériel
Demande,Amélioration de l'expérience utilisateur,Moyenne,Logiciel
Incident,Erreur de compilation dans le code,Faible,Logiciel
Demande,Nouvelle fonctionnalité pour le système de gestion des projets,Faible,Logiciel
Incident,Problème de stockage des données,Moyenne,Réseau
Demande,Ajout d'un nouveau tutoriel dans la documentation,Faible,Documentation
Incident,Le système de gestion des étudiants est inaccessible,Elevé,Logiciel
Demande,Amélioration de la gestion des erreurs,Moyenne,Logiciel
Incident,Le matériel de développement est obsolète,Moyenne,Matériel
Demande,Ajout d'un nouveau module dans la documentation,Faible,Documentation
Demande,Nouvelle fonctionnalité pour le système de gestion des événements,Faible,Logiciel
Incident,Le matériel de développement est endommagé,Moyenne,Matériel
Demande,Ajout d'un nouveau chapitre dans la documentation,Faible,Documentation
Incident,Erreur de données dans le système,Faible,Logiciel
Demande,Amélioration de la gestion des erreurs,Moyenne,Logiciel
Incident,Problème de synchronisation des données,Moyenne,Réseau
Demande,Nouvelle fonctionnalité pour le système de gestion des tâches,Faible,Logiciel
Incident,Le système de gestion des étudiants est lent,Elevé,Logiciel
Demande,Ajout d'un nouveau tutoriel dans la documentation,Faible,Documentation
Incident,Le matériel de développement est manquant,Moyenne,Matériel
Demande,Amélioration de l'expérience utilisateur,Moyenne,Logiciel
Incident,Erreur de compilation dans le code,Faible,Logiciel
Demande,Nouvelle fonctionnalité pour le système de gestion des projets,Faible,Logiciel
Incident,Problème de stockage des données,Moyenne,Réseau
Demande,Ajout d'un nouveau module dans la documentation,Faible,Documentation
Incident,Le système de gestion des étudiants est inaccessible,Elevé,Logiciel
Demande,Amélioration de la gestion des erreurs,Moyenne,Logiciel
Incident,Le matériel de développement est obsolète,Moyenne,Matériel
Demande,Nouvelle fonctionnalité pour le système de gestion des ressources,Faible,Logiciel
Incident,Erreur de login dans le système,Faible,Logiciel
Demande,Ajout d'un nouveau chapitre dans la documentation,Faible,Documentation
Incident,Le matériel de développement est endommagé,Moyenne,Matériel
Demande,Ajout d'un nouveau tutoriel dans la documentation,Faible,Documentation
Incident,Erreur de données dans le système,Faible,Logiciel
Demande,Amélioration de la gestion des erreurs,Moyenne,Logiciel
Incident,Problème de synchronisation des données,Moyenne,Réseau
Demande,Nouvelle fonctionnalité pour le système de gestion des tâches,Faible,Logiciel
Incident,Le système de gestion des étudiants est lent,Elevé,Logiciel
Demande,Ajout d'un nouveau module dans la documentation,Faible,Documentation
Incident,Le matériel de développement est manquant,Moyenne,Matériel
Incident,Problème de stockage des données,Moyenne,Réseau
Demande,Ajout d'un nouveau chapitre dans la documentation,Faible,Documentation
Incident,Le système de gestion des étudiants est inaccessible,Elevé,Logiciel
Demande,Amélioration de la gestion des erreurs,Moyenne,Logiciel
Incident,Le matériel de développement est obsolète,Moyenne,Matériel
Demande,Nouvelle fonctionnalité pour le système de gestion des ressources,Faible,Logiciel
Incident,Erreur de login dans le système,Faible,Logiciel
Demande,Ajout d'un nouveau tutoriel dans la documentation,Faible,Documentation
Incident,Le matériel de développement est endommagé,Moyenne,Matériel
Demande,Ajout d'un nouveau module dans la documentation,Faible,Documentation
Incident,Erreur de données dans le système,Faible,Logiciel
Demande,Amélioration de la gestion des erreurs,Moyenne,Logiciel
Incident,Problème de synchronisation des données,Moyenne,Réseau
Demande,Nouvelle fonctionnalité pour le système de gestion des tâches,Faible,Logiciel
Incident,Le système de gestion des étudiants est lent,Elevé,Logiciel
Demande,Ajout d'un nouveau chapitre dans la documentation,Faible,Documentation
Incident,Le matériel de développement est manquant,Moyenne,Matériel
Incident,Problème de stockage des données,Moyenne,Réseau
Demande,Ajout d'un nouveau tutoriel dans la documentation,Faible,Documentation
Incident,Le système de gestion des étudiants est inaccessible,Elevé,Logiciel
Demande,Amélioration de la gestion des erreurs,Moyenne,Logiciel
Incident,Le matériel de développement est obsolète,Moyenne,Matériel
Demande,Nouvelle fonctionnalité pour le système de gestion des ressources,Faible,Logiciel
Incident,Erreur de login dans le système,Faible,Logiciel
Demande,Ajout d'un nouveau module dans la documentation,Faible,Documentation
Incident,Le matériel de développement est endommagé,Moyenne,Matériel
Demande,Ajout d'un nouveau chapitre dans la documentation,Faible,Documentation
Incident,Problème de synchronisation des données,Moyenne,Réseau
Demande,Ajout d'un nouveau tutoriel dans la documentation,Faible,Documentation
Incident,Le matériel de développement est manquant,Moyenne,Matériel
Incident,Problème de stockage des données,Moyenne,Réseau
Demande,Ajout d'un nouveau module dans la documentation,Faible,Documentation
Incident,Le système de gestion des étudiants est inaccessible,Elevé,Logiciel
Demande,Amélioration de la gestion des erreurs,Moyenne,Logiciel
Incident,Le matériel de développement est obsolète,Moyenne,Matériel
Demande,Nouvelle fonctionnalité pour le système de gestion des ressources,Faible,Logiciel
Incident,Erreur de login dans le système,Faible,Logiciel
Demande,Ajout d'un nouveau chapitre dans la documentation,Faible,Documentation
Incident,Le matériel de développement est endommagé,Moyenne,Matériel
Demande,Ajout d'un nouveau tutoriel dans la documentation,Faible,Documentation
Incident,Erreur de données dans le système,Faible,Logiciel
Demande,Amélioration de la gestion des erreurs,Moyenne,Logiciel
Incident,Problème de synchronisation des données,Moyenne,Réseau
Demande,Nouvelle fonctionnalité pour le système de gestion des tâches,Faible,Logiciel
Incident,Le système de gestion des étudiants est lent,Elevé,Logiciel
Demande,Ajout d'un nouveau module dans la documentation,Faible,Documentation
Incident,Le matériel de développement est manquant,Moyenne,Matériel
Incident,Problème de stockage des données,Moyenne,Réseau
Demande,Ajout d'un nouveau chapitre dans la documentation,Faible,Documentation
Incident,Le système de gestion des étudiants est inaccessible,Elevé,Logiciel
Demande,Amélioration de la gestion des erreurs,Moyenne,Logiciel
Incident,Le matériel de développement est obsolète,Moyenne,Matériel
Demande,Nouvelle fonctionnalité pour le système de gestion des ressources,Faible,Logiciel
Incident,Erreur de login dans le système,Faible,Logiciel
Demande,Ajout d'un nouveau tutoriel dans la documentation,Faible,Documentation
Incident,Le matériel de développement est endommagé,Moyenne,Matériel
Demande,Ajout d'un nouveau module dans la documentation,Faible,Documentation
Incident,Erreur de données dans le système,Faible,Logiciel
Demande,Amélioration de la gestion des erreurs,Moyenne,Logiciel
Incident,Problème de synchronisation des données,Moyenne,Réseau
Demande,Nouvelle fonctionnalité pour le système de gestion des tâches,Faible,Logiciel
Incident,Le système de gestion des étudiants est lent,Elevé,Logiciel
Demande,Ajout d'un nouveau chapitre dans la documentation,Faible,Documentation
Incident,Le matériel de développement est manquant,Moyenne,Matériel
Incident,Problème de stockage des données,Moyenne,Réseau
Demande,Ajout d'un nouveau tutoriel dans la documentation,Faible,Documentation
Incident,Le système de gestion des étudiants est inaccessible,Elevé,Logiciel
Demande,Amélioration de la gestion des erreurs,Moyenne,Logiciel
Incident,Le matériel de développement est obsolète,Moyenne,Matériel
Demande,Nouvelle fonctionnalité pour le système de gestion des ressources,Faible,Logiciel
Incident,Erreur de login dans le système,Faible,Logiciel
Demande,Ajout d'un nouveau module dans la documentation,Faible,Documentation
Incident,Le matériel de développement est endommagé,Moyenne,Matériel
Demande,Ajout d'un nouveau chapitre dans la documentation,Faible,Documentation
Incident,Erreur de données dans le système,Faible,Logiciel
Demande,Amélioration de la gestion des erreurs,Moyenne,Logiciel
Incident,Problème de synchronisation des données,Moyenne,Réseau
Incident,Le système de gestion des étudiants est lent,Elevé,Logiciel
Demande,Ajout d'un nouveau tutoriel dans la documentation,Faible,Documentation
Incident,Le matériel de développement est manquant,Moyenne,Matériel
Incident,Problème de stockage des données,Moyenne,Réseau
Demande,Ajout d'un nouveau module dans la documentation,Faible,Documentation
Incident,Le système de gestion des étudiants est inaccessible,Elevé,Logiciel
Demande,Amélioration de la gestion des erreurs,Moyenne,Logiciel
Incident,Le matériel de développement est obsolète,Moyenne,Matériel
Demande,Nouvelle fonctionnalité pour le système de gestion des ressources,Faible,Logiciel
Incident,Erreur de login dans le système,Faible,Logiciel
Demande,Ajout d'un nouveau chapitre dans la documentation,Faible,Documentation
Incident,Problème de performance du système,Moyenne,Logiciel
Demande,Amélioration de la sécurité des données,Moyenne,Logiciel
Incident,Le système de gestion des étudiants est instable,Elevé,Logiciel
Demande,Nouvelle fonctionnalité pour le système de gestion des événements,Faible,Logiciel
Incident,Le matériel de développement est endommagé,Moyenne,Matériel
Demande,Ajout d'un nouveau tutoriel dans la documentation,Faible,Documentation
Incident,Erreur de données dans le système,Faible,Logiciel
Demande,Amélioration de la gestion des erreurs,Moyenne,Logiciel
Incident,Problème de synchronisation des données,Moyenne,Réseau
Demande,Nouvelle fonctionnalité pour le système de gestion des tâches,Faible,Logiciel
Incident,Le système de gestion des étudiants est lent,Elevé,Logiciel
Demande,Ajout d'un nouveau module dans la documentation,Faible,Documentation
Incident,Le matériel de développement est manquant,Moyenne,Matériel
Demande,Amélioration de l'expérience utilisateur,Moyenne,Logiciel
"Incident","Erreur de connexion au Wi-Fi dans le bâtiment A","Haute","Réseau"
"Demande","Installation d'un point d'accès Wi-Fi supplémentaire dans la salle de cours 3","Moyenne","Réseau"
"Incident","Perte de connexion internet dans les laboratoires de développement","Élevée","Réseau"
"Demande","Mise à jour des paramètres de sécurité du réseau pour les étudiants","Basse","Réseau"
"Incident","Problème de latence sur le réseau lors de la transmission de fichiers","Moyenne","Réseau"
"Demande","Création d'un réseau virtuel privé pour les projets de groupe","Haute","Réseau"
"Incident","Erreur de routage sur le réseau causant des problèmes d'accès aux ressources","Élevée","Réseau"
"Demande","Amélioration de la sécurité du réseau pour les appareils mobiles","Moyenne","Réseau"
"Incident","Panne du routeur principal du réseau","Élevée","Réseau"
"Demande","Installation d'un système de détection d'intrusion sur le réseau","Haute","Réseau"
"Incident","Problème de connexion au réseau pour les étudiants en dehors du campus","Moyenne","Réseau"
"Demande","Mise en place d'un système de gestion de bande passante pour les laboratoires","Basse","Réseau"
"Incident","Erreur de configuration du réseau causant des problèmes d'accès aux ressources","Moyenne","Réseau"
"Demande","Création d'un réseau de stockage en nuage pour les étudiants","Haute","Réseau"
"Incident","Perte de données due à une erreur de sauvegarde sur le réseau","Élevée","Réseau"
"Demande","Amélioration de la vitesse de téléchargement sur le réseau","Moyenne","Réseau"
"Incident","Problème de sécurité sur le réseau causant des vulnérabilités","Élevée","Réseau"
"Demande","Installation d'un système de surveillance du réseau pour les administrateurs","Haute","Réseau"
"Incident","Erreur de mise à jour du système d'exploitation du routeur","Moyenne","Réseau"
"Demande","Création d'un réseau privé virtuel pour les étudiants en stage","Basse","Réseau"
"Incident","Panne du système de sécurité du réseau","Élevée","Réseau"
"Demande","Mise en place d'un système de gestion des accès au réseau","Moyenne","Réseau"
"Incident","Problème de connexion au réseau pour les professeurs","Moyenne","Réseau"
"Demande","Amélioration de la fiabilité du réseau pour les laboratoires","Haute","Réseau"
"Incident","Erreur de configuration du système de sécurité du réseau","Moyenne","Réseau"
"Demande","Création d'un réseau de stockage pour les données des étudiants","Basse","Réseau"
"Incident","Perte de données due à une erreur de sauvegarde sur le réseau","Élevée","Réseau"
"Demande","Mise en place d'un système de détection d'anomalies sur le réseau","Haute","Réseau"
"Incident","Problème de sécurité sur le réseau causant des vulnérabilités","Élevée","Réseau"
"Demande","Installation d'un système de gestion des mises à jour du réseau","Moyenne","Réseau"
"Incident","Erreur de mise à jour du système d'exploitation du routeur","Moyenne","Réseau"
"Demande","Création d'un réseau privé virtuel pour les étudiants en ligne","Basse","Réseau"
"Incident","Panne du système de sécurité du réseau","Élevée","Réseau"
"Demande","Mise en place d'un système de gestion des accès au réseau","Moyenne","Réseau"
"Incident","Problème de connexion au réseau pour les étudiants en dehors du campus","Moyenne","Réseau"
"Demande","Amélioration de la vitesse de téléchargement sur le réseau","Haute","Réseau"
"Incident","Erreur de configuration du système de sécurité du réseau","Moyenne","Réseau"
"Demande","Création d'un réseau de stockage en nuage pour les étudiants","Basse","Réseau"
"Incident","Perte de données due à une erreur de sauvegarde sur le réseau","Élevée","Réseau"
"Demande","Mise en place d'un système de détection d'anomalies sur le réseau","Haute","Réseau"
"Incident","Problème de sécurité sur le réseau causant des vulnérabilités","Élevée","Réseau"
"Demande","Installation d'un système de gestion des mises à jour du réseau","Moyenne","Réseau"
"Incident","Erreur de mise à jour du système d'exploitation du routeur","Moyenne","Réseau"
"Demande","Création d'un réseau privé virtuel pour les étudiants en stage","Basse","Réseau"
"Incident","Panne du système de sécurité du réseau","Élevée","Réseau"
"Demande","Mise en place d'un système de gestion des accès au réseau","Moyenne","Réseau"
"Incident","Problème de connexion au réseau pour les professeurs","Moyenne","Réseau"
"Demande","Amélioration de la fiabilité du réseau pour les laboratoires","Haute","Réseau"
"Incident","Erreur de configuration du système de sécurité du réseau","Moyenne","Réseau"
"Demande","Création d'un réseau de stockage pour les données des étudiants","Basse","Réseau"
"Incident","Perte de données due à une erreur de sauvegarde sur le réseau","Élevée","Réseau"
"Demande","Mise en place d'un système de détection d'anomalies sur le réseau","Haute","Réseau"
"Incident","Problème de sécurité sur le réseau causant des vulnérabilités","Élevée","Réseau"
"Demande","Installation d'un système de gestion des mises à jour du réseau","Moyenne","Réseau"
"Incident","Erreur de mise à jour du système d'exploitation du routeur","Moyenne","Réseau"
"Demande","Création d'un réseau privé virtuel pour les étudiants en ligne","Basse","Réseau"
"Incident","Panne du système de sécurité du réseau","Élevée","Réseau"
"Demande","Mise en place d'un système de gestion des accès au réseau","Moyenne","Réseau"
"Incident","Problème de connexion au réseau pour les étudiants en dehors du campus","Moyenne","Réseau"
"Demande","Amélioration de la vitesse de téléchargement sur le réseau","Haute","Réseau"
"Incident","Erreur de configuration du système de sécurité du réseau","Moyenne","Réseau"
"Demande","Création d'un réseau de stockage en nuage pour les étudiants","Basse","Réseau"
"Incident","Perte de données due à une erreur de sauvegarde sur le réseau","Élevée","Réseau"
"Demande","Mise en place d'un système de détection d'anomalies sur le réseau","Haute","Réseau"
"Incident","Problème de sécurité sur le réseau causant des vulnérabilités","Élevée","Réseau"
"Demande","Installation d'un système de gestion des mises à jour du réseau","Moyenne","Réseau"
"Incident","Erreur de mise à jour du système d'exploitation du routeur","Moyenne","Réseau"
"Demande","Création d'un réseau privé virtuel pour les étudiants en stage","Basse","Réseau"
"Incident","Panne du système de sécurité du réseau","Élevée","Réseau"
"Demande","Mise en place d'un système de gestion des accès au réseau","Moyenne","Réseau"
"Incident","Problème de connexion au réseau pour les professeurs","Moyenne","Réseau"
"Demande","Amélioration de la fiabilité du réseau pour les laboratoires","Haute","Réseau"
"Incident","Erreur de configuration du système de sécurité du réseau","Moyenne","Réseau"
"Demande","Création d'un réseau de stockage pour les données des étudiants","Basse","Réseau"
"Incident","Perte de données due à une erreur de sauvegarde sur le réseau","Élevée","Réseau"
"Demande","Mise en place d'un système de détection d'anomalies sur le réseau","Haute","Réseau"
"Incident","Problème de sécurité sur le réseau causant des vulnérabilités","Élevée","Réseau"
"Demande","Installation d'un système de gestion des mises à jour du réseau","Moyenne","Réseau"
"Incident","Erreur de mise à jour du système d'exploitation du routeur","Moyenne","Réseau"
"Demande","Création d'un réseau privé virtuel pour les étudiants en ligne","Basse","Réseau"
"Incident","Panne du système de sécurité du réseau","Élevée","Réseau"
"Demande","Mise en place d'un système de gestion des accès au réseau","Moyenne","Réseau"
"Incident","Problème de connexion au réseau pour les étudiants en dehors du campus","Moyenne","Réseau"
"Demande","Amélioration de la vitesse de téléchargement sur le réseau","Haute","Réseau"
"Incident","Erreur de configuration du système de sécurité du réseau","Moyenne","Réseau"
"Demande","Création d'un réseau de stockage en nuage pour les étudiants","Basse","Réseau"
"Incident","Perte de données due à une erreur de sauvegarde sur le réseau","Élevée","Réseau"
"Demande","Mise en place d'un système de détection d'anomalies sur le réseau","Haute","Réseau"
"Incident","Problème de sécurité sur le réseau causant des vulnérabilités","Élevée","Réseau"
"Demande","Installation d'un système de gestion des mises à jour du réseau","Moyenne","Réseau"
"Incident","Erreur de mise à jour du système d'exploitation du routeur","Moyenne","Réseau"
"Demande","Création d'un réseau privé virtuel pour les étudiants en stage","Basse","Réseau"
"Incident","Panne du système de sécurité du réseau","Élevée","Réseau"
"Demande","Mise en place d'un système de gestion des accès au réseau","Moyenne","Réseau"
"Incident","Problème de connexion au réseau pour les professeurs","Moyenne","Réseau"
"Demande","Amélioration de la fiabilité du réseau pour les laboratoires","Haute","Réseau"
"Incident","Erreur de configuration du système de sécurité du réseau","Moyenne","Réseau"
"Demande","Création d'un réseau de stockage pour les données des étudiants","Basse","Réseau"
"Incident","Perte de données due à une erreur de sauvegarde sur le réseau","Élevée","Réseau"
"Demande","Mise en place d'un système de détection d'anomalies sur le réseau","Haute","Réseau"
"Incident","Problème de sécurité sur le réseau causant des vulnérabilités","Élevée","Réseau"
"Demande","Installation d'un système de gestion des mises à jour du réseau","Moyenne","Réseau"
"Incident","Erreur de mise à jour du système d'exploitation du routeur","Moyenne","Réseau"
"Demande","Création d'un réseau privé virtuel pour les étudiants en ligne","Basse","Réseau"
Incident,Imprimante en panne dans le laboratoire 1,Haute,Matériel
Demande,Demande de mise à jour du système d'exploitation des ordinateurs de la salle 3,Moyenne,Matériel
Incident,Écran de l'ordinateur portable du professeur X endommagé,Basse,Matériel
Demande,Demande d'installation de logiciels spécifiques pour le cours de développement web,Moyenne,Matériel
Incident,Problème de connexion Wi-Fi dans le bâtiment B,Haute,Matériel
Demande,Demande de remplacement des souris et claviers usagés des ordinateurs de la salle 2,Basse,Matériel
Incident,Ordinateur du laboratoire 2 ne démarre plus,Haute,Matériel
Demande,Demande d'installation d'un projeteur dans la salle de conférence,Moyenne,Matériel
Incident,Problème de fonctionnement de la caméra de surveillance du bâtiment A,Basse,Matériel
Demande,Demande de mise à jour des drivers des imprimantes 3D,Moyenne,Matériel
Incident,Écran de l'ordinateur fixe du laboratoire 3 endommagé,Basse,Matériel
Demande,Demande d'installation de nouveaux casques audio pour les ordinateurs de la salle 1,Moyenne,Matériel
Incident,Problème de fonctionnement du système de climatisation du bâtiment C,Haute,Matériel
Demande,Demande de remplacement des batteries des ordinateurs portables des professeurs,Basse,Matériel
Incident,Ordinateur du laboratoire 1 ne reconnaît plus les périphériques USB,Haute,Matériel
Demande,Demande d'installation d'un système de gestion de la température pour les serveurs,Moyenne,Matériel
Incident,Problème de fonctionnement de la borne de recharge des ordinateurs portables,Basse,Matériel
Demande,Demande de mise à jour des logiciels de sécurité des ordinateurs de la salle 3,Moyenne,Matériel
Incident,Écran de l'ordinateur fixe du laboratoire 2 endommagé,Basse,Matériel
Demande,Demande d'installation de nouveaux écrans pour les ordinateurs de la salle 2,Moyenne,Matériel
